Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"565,910",,0.0,"1,152,061",,0.0,"1,152,061"
Non-Recreation Visitors,"198,833",,0.0,"432,106",,0.0,"432,106"
Total Visitors,"764,743",,0.0,"1,584,167",,0.0,"1,584,167"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Aug 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,August 1,"22,309",0,Infinity
Daily Visitation,August 2,"24,236",0,Infinity
Daily Visitation,August 3,"27,856",0,Infinity
Daily Visitation,August 4,"23,631",0,Infinity
Daily Visitation,August 5,"22,188",0,Infinity
Daily Visitation,August 6,"19,678",0,Infinity
Daily Visitation,August 7,"23,886",0,Infinity
Daily Visitation,August 8,"28,874",0,Infinity
Daily Visitation,August 9,"34,290",0,Infinity
Daily Visitation,August 10,"35,295",0,Infinity
Daily Visitation,August 11,"32,346",0,Infinity
Daily Visitation,August 12,"23,948",0,Infinity
Daily Visitation,August 13,"26,415",0,Infinity
Daily Visitation,August 14,"24,849",0,Infinity
Daily Visitation,August 15,"21,037",0,Infinity
Daily Visitation,August 16,"24,990",0,Infinity
Daily Visitation,August 17,"22,729",0,Infinity
Daily Visitation,August 18,"21,708",0,Infinity
Daily Visitation,August 19,"18,760",0,Infinity
Daily Visitation,August 20,"18,081",0,Infinity
Daily Visitation,August 21,"18,525",0,Infinity
Daily Visitation,August 22,"17,492",0,Infinity
Daily Visitation,August 23,"16,588",0,Infinity
Daily Visitation,August 24,"16,041",0,Infinity
Daily Visitation,August 25,"15,672",0,Infinity
Daily Visitation,August 26,"13,288",0,Infinity
Daily Visitation,August 27,"13,178",0,Infinity
Daily Visitation,August 28,"15,147",0,Infinity
Daily Visitation,August 29,"12,009",0,Infinity
Daily Visitation,August 30,"10,544",0,Infinity
Daily Visitation,August 31,"10,427",0,Infinity

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"479,245",,0.0,"1,631,306",,0.0,"1,631,306"
Non-Recreation Visitors,"177,255",,0.0,"609,361",,0.0,"609,361"
Total Visitors,"656,500",,0.0,"2,240,667",,0.0,"2,240,667"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Sep 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,September 1,"8,205",0,Infinity
Daily Visitation,September 2,"8,289",0,Infinity
Daily Visitation,September 3,"9,745",0,Infinity
Daily Visitation,September 4,"15,668",0,Infinity
Daily Visitation,September 5,"10,598",0,Infinity
Daily Visitation,September 6,"12,862",0,Infinity
Daily Visitation,September 7,"8,058",0,Infinity
Daily Visitation,September 8,"8,307",0,Infinity
Daily Visitation,September 9,"7,765",0,Infinity
Daily Visitation,September 10,"8,016",0,Infinity
Daily Visitation,September 11,"10,403",0,Infinity
Daily Visitation,September 12,"8,950",0,Infinity
Daily Visitation,September 13,"6,871",0,Infinity
Daily Visitation,September 14,"8,275",0,Infinity
Daily Visitation,September 15,"7,896",0,Infinity
Daily Visitation,September 16,"7,325",0,Infinity
Daily Visitation,September 17,"5,670",0,Infinity
Daily Visitation,September 18,"6,328",0,Infinity
Daily Visitation,September 19,"8,570",0,Infinity
Daily Visitation,September 20,"8,259",0,Infinity
Daily Visitation,September 21,"6,741",0,Infinity
Daily Visitation,September 22,"6,206",0,Infinity
Daily Visitation,September 23,"6,892",0,Infinity
Daily Visitation,September 24,"5,616",0,Infinity
Daily Visitation,September 25,"5,608",0,Infinity
Daily Visitation,September 26,"5,427",0,Infinity
Daily Visitation,September 27,"5,033",0,Infinity
Daily Visitation,September 28,"4,679",0,Infinity
Daily Visitation,September 29,"5,770",0,Infinity
Daily Visitation,September 30,"4,232",0,Infinity
Daily Visitation,September 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"204,474",,0.0,"1,835,780",,0.0,"1,835,780"
Non-Recreation Visitors,"27,883",,0.0,"637,244",,0.0,"637,244"
Total Visitors,"232,357",,0.0,"2,473,024",,0.0,"2,473,024"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Oct 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,October 1,"4,613",0,Infinity
Daily Visitation,October 2,"5,829",0,Infinity
Daily Visitation,October 3,"6,442",0,Infinity
Daily Visitation,October 4,"5,389",0,Infinity
Daily Visitation,October 5,"4,954",0,Infinity
Daily Visitation,October 6,"4,937",0,Infinity
Daily Visitation,October 7,"3,119",0,Infinity
Daily Visitation,October 8,"1,713",0,Infinity
Daily Visitation,October 9,"4,235",0,Infinity
Daily Visitation,October 10,"5,949",0,Infinity
Daily Visitation,October 11,"3,974",0,Infinity
Daily Visitation,October 12,"3,255",0,Infinity
Daily Visitation,October 13,"3,116",0,Infinity
Daily Visitation,October 14,"2,841",0,Infinity
Daily Visitation,October 15,"2,992",0,Infinity
Daily Visitation,October 16,"2,704",0,Infinity
Daily Visitation,October 17,"3,742",0,Infinity
Daily Visitation,October 18,"2,566",0,Infinity
Daily Visitation,October 19,"2,871",0,Infinity
Daily Visitation,October 20,"2,628",0,Infinity
Daily Visitation,October 21,"2,587",0,Infinity
Daily Visitation,October 22,"2,917",0,Infinity
Daily Visitation,October 23,"3,685",0,Infinity
Daily Visitation,October 24,"2,837",0,Infinity
Daily Visitation,October 25,"1,927",0,Infinity
Daily Visitation,October 26,"1,865",0,Infinity
Daily Visitation,October 27,"1,746",0,Infinity
Daily Visitation,October 28,"1,475",0,Infinity
Daily Visitation,October 29,"1,580",0,Infinity
Daily Visitation,October 30,"2,102",0,Infinity
Daily Visitation,October 31,"1,653",0,Infinity

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"75,773",,0.0,"1,911,554",,0.0,"75,773"
Non-Recreation Visitors,"26,623",,0.0,"663,867",,0.0,"26,623"
Total Visitors,"102,396",,0.0,"2,575,420",,0.0,"102,396"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Nov 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,November 1,"1,047",0,Infinity
Daily Visitation,November 2,"1,551",0,Infinity
Daily Visitation,November 3,"1,349",0,Infinity
Daily Visitation,November 4,896,0,Infinity
Daily Visitation,November 5,"1,113",0,Infinity
Daily Visitation,November 6,"1,898",0,Infinity
Daily Visitation,November 7,"1,717",0,Infinity
Daily Visitation,November 8,"1,505",0,Infinity
Daily Visitation,November 9,"1,205",0,Infinity
Daily Visitation,November 10,"1,282",0,Infinity
Daily Visitation,November 11,"1,682",0,Infinity
Daily Visitation,November 12,985,0,Infinity
Daily Visitation,November 13,"1,088",0,Infinity
Daily Visitation,November 14,785,0,Infinity
Daily Visitation,November 15,928,0,Infinity
Daily Visitation,November 16,"1,247",0,Infinity
Daily Visitation,November 17,971,0,Infinity
Daily Visitation,November 18,877,0,Infinity
Daily Visitation,November 19,999,0,Infinity
Daily Visitation,November 20,"1,642",0,Infinity
Daily Visitation,November 21,"1,792",0,Infinity
Daily Visitation,November 22,434,0,Infinity
Daily Visitation,November 23,526,0,Infinity
Daily Visitation,November 24,482,0,Infinity
Daily Visitation,November 25,396,0,Infinity
Daily Visitation,November 26,720,0,Infinity
Daily Visitation,November 27,"1,575",0,Infinity
Daily Visitation,November 28,962,0,Infinity
